change_id,term_iri,change_type,old_value,new_value,ontology_version,rationale,odr_ref
CL-0001,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#AssessmentDependency,DEPRECATE,http://example.org/kg-mnp#AssessmentDependency,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,1.0.0,ODR-004.,
CL-0002,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingDecision,MOVE_MODULE,http://example.org/kg-mnp#BlockingDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingDecision,1.0.0,Decision that portability is blocked.,
CL-0003,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingReason,MOVE_MODULE,http://example.org/kg-mnp#BlockingReason,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingReason,1.0.0,An independent reason that contributes to a blocking or review outcome.,
CL-0004,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ConditionalDecision,MOVE_MODULE,http://example.org/kg-mnp#ConditionalDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ConditionalDecision,1.0.0,Decision that portability is conditionally allowed.,
CL-0005,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityAssessment,MOVE_MODULE,http://example.org/kg-mnp#EligibilityAssessment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityAssessment,1.0.0,A deterministic evaluation of an MNP case against eligibility rules and evidence.,
CL-0006,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityDecision,MOVE_MODULE,http://example.org/kg-mnp#EligibilityDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityDecision,1.0.0,Abstract decision outcome of an eligibility assessment.,
CL-0007,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityRule,MOVE_MODULE,http://example.org/kg-mnp#EligibilityRule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityRule,1.0.0,A versioned eligibility rule operationalizing regulatory clauses.,
CL-0008,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibleDecision,MOVE_MODULE,http://example.org/kg-mnp#EligibleDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibleDecision,1.0.0,Decision that the case is eligible for portability.,
CL-0009,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EvidenceRecord,MOVE_MODULE,http://example.org/kg-mnp#EvidenceRecord,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EvidenceRecord,1.0.0,A dated business observation used as evidence in eligibility assessment.,
CL-0010,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#InformationSystem,MOVE_MODULE,http://example.org/kg-mnp#InformationSystem,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#InformationSystem,1.0.0,A source system that generates evidence observations.,
CL-0011,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MNPCase,MOVE_MODULE,http://example.org/kg-mnp#MNPCase,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MNPCase,1.0.0,A mobile number portability request case.,
CL-0012,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ManualReviewDecision,MOVE_MODULE,http://example.org/kg-mnp#ManualReviewDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ManualReviewDecision,1.0.0,Decision that manual review is required.,
CL-0013,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MappingRecord,MOVE_MODULE,http://example.org/kg-mnp#MappingRecord,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MappingRecord,1.0.0,ODR-005: moved out of core.,
CL-0014,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumber,MOVE_MODULE,http://example.org/kg-mnp#PhoneNumber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumber,1.0.0,A telephone number that may be the subject of an MNP case.,
CL-0015,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumberOwnership,MODIFY,http://example.org/kg-mnp#PhoneNumberOwnership,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumberOwnership,1.0.0,Clarified as assertion class; operational assignment uses assignedToSubscription.,
CL-0016,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryClause,MOVE_MODULE,http://example.org/kg-mnp#RegulatoryClause,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryClause,1.0.0,A specific clause within a regulatory document.,
CL-0017,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryDocument,MOVE_MODULE,http://example.org/kg-mnp#RegulatoryDocument,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryDocument,1.0.0,A regulatory or policy document containing clauses.,
CL-0018,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RemediationAction,MOVE_MODULE,http://example.org/kg-mnp#RemediationAction,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RemediationAction,1.0.0,A recommended action a user or operator should take.,
CL-0019,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RuleVersion,MOVE_MODULE,http://example.org/kg-mnp#RuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RuleVersion,1.0.0,A concrete version of an eligibility rule with effective dates.,
CL-0020,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceContract,MOVE_MODULE,http://example.org/kg-mnp#ServiceContract,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceContract,1.0.0,A contractual commitment that may restrict portability until end time.,
CL-0021,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceSubscription,MOVE_MODULE,http://example.org/kg-mnp#ServiceSubscription,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceSubscription,1.0.0,An instantiated subscription linking a subscriber to a telecom service and billing account.,
