term_iri,local_name,term_type,defining_module,label_en,label_zh_cn,definition_en,definition_zh_cn,superclass,domain,range,inverse_property,characteristics,deprecated,replacement_term,source,source_status,audit_decision,audit_notes
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#alignmentStatus,alignmentStatus,AnnotationProperty,mnp-core,Alignment Status,对齐状态,"Human-reviewed alignment status: VERIFIED, PARTIAL, or LOCAL_ONLY.",人工审定的外部对齐状态：VERIFIED、PARTIAL 或 LOCAL_ONLY。,,,,,,false,,LOCAL_EXTENSION,PROJECT_GOVERNANCE,ACCEPT,Retained in core as cross-module annotation.
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#definingModule,definingModule,AnnotationProperty,mnp-core,Defining Module,定义模块,Annotation naming the single defining ontology module for a term.,标注术语唯一正式定义模块的注解属性。,,,,,,false,,LOCAL_EXTENSION,PROJECT_GOVERNANCE,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#replacementTerm,replacementTerm,AnnotationProperty,mnp-core,Replacement Term,替代术语,Points from a deprecated term to its recommended replacement.,从已弃用术语指向推荐替代术语。,,,,,,false,,LOCAL_EXTENSION,PROJECT_GOVERNANCE,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceStatus,sourceStatus,AnnotationProperty,mnp-core,Source Status,来源状态,"Provenance status of a local term: LOCAL_EXTENSION, INDUSTRY_ALIGNED, STANDARD_REUSED, or PROJECT_GOVERNANCE.",本地术语来源状态：LOCAL_EXTENSION、INDUSTRY_ALIGNED、STANDARD_REUSED 或 PROJECT_GOVERNANCE。,,,,,,false,,LOCAL_EXTENSION,PROJECT_GOVERNANCE,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Bill,Bill,Class,mnp-account-billing,Bill,账单,A periodic bill issued against a billing account.,针对计费账户出具的周期账单。,,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BillingAccount,BillingAccount,Class,mnp-account-billing,Billing Account,计费账户,A billing account that aggregates charges and payments.,汇总费用与缴费的计费账户。,TelecomAccount,,,,,false,,LOCAL_EXTENSION,INDUSTRY_ALIGNED,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BillingSettlement,BillingSettlement,Class,mnp-account-billing,Billing Settlement,计费结清,A settlement event clearing outstanding balances.,结清欠费余额的结算事件。,,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Charge,Charge,Class,mnp-account-billing,Charge,费用项,An individual charge line on a bill.,账单上的单项费用。,,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#OutstandingBalanceObservation,OutstandingBalanceObservation,Class,mnp-account-billing,Outstanding Balance Observation,欠费余额观测,Observed outstanding balance used as billing evidence.,用作计费证据的欠费余额观测。,SystemObservation,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Payment,Payment,Class,mnp-account-billing,Payment,缴费,A payment applied to a billing account.,应用于计费账户的缴费。,,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PaymentArrangement,PaymentArrangement,Class,mnp-account-billing,Payment Arrangement,缴费安排,An agreed payment plan that may clear portability restrictions.,可能解除携转限制的约定缴费安排。,,,,,,false,,LOCAL_EXTENSION,LOCAL_EXTENSION,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomAccount,TelecomAccount,Class,mnp-account-billing,Telecom Account,电信账户,A billing or customer account through which services are charged.,用于计费或客户管理的电信账户。,,,,,,false,,LOCAL_EXTENSION,INDUSTRY_ALIGNED,MOVE_MODULE,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#CodeListEntry,CodeListEntry,Class,mnp-code-list,Code List Entry,码表条目,An entry in a controlled code list.,受控码表中的条目。,,,,,,false,,LOCAL_EXTENSION,PROJECT_GOVERNANCE,ACCEPT,
https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#AssessmentDependency,AssessmentDependency,Class,mnp-compliance,Assessment Dependency (deprecated),评估依赖（已弃用）,Deprecated wrapper formerly linking assessments to evidence/rule versions without independent metadata.,已弃用；原用于包装评估对证据/规则版本的依赖，无独立元数据。,,,,,,true,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,LOCAL_EXTENSION,LOCAL_EXTENSION,DEPRECATE,ODR-004.
